id,posted_time,updated_time,age,updated_age,app_type,owner_id,owner_type,owner_influence,number_of_likes,number_of_comments,reactivity,is_mentions_me,is_mentions_connections,is_commented_by_me,is_commented_by_connections,is_liked_by_me,is_liked_by_connections,poster_id,poster_gender,poster_is_employee,poster_is_lead,poster_is_in_connections,poster_focus,poster_order,poster_influence,participant1_id,participant1_action,participant1_gender,participant1_is_employee,participant1_is_lead,participant1_is_in_connections,participant1_focus,participant1_order,participant1_influence,participant2_id,participant2_action,participant2_gender,participant2_is_employee,participant2_is_lead,participant2_is_in_connections,participant2_focus,participant2_order,participant2_influence,participant3_id,participant3_action,participant3_gender,participant3_is_employee,participant3_is_lead,participant3_is_in_connections,participant3_focus,participant3_order,participant3_influence,participant4_id,participant4_action,participant4_gender,participant4_is_employee,participant4_is_lead,participant4_is_in_connections,participant4_focus,participant4_order,participant4_influence,participant5_id,participant5_action,participant5_gender,participant5_is_employee,participant5_is_lead,participant5_is_in_connections,participant5_focus,participant5_order,participant5_influence,rank
213012,1.541E+12,1.54115E+12,36201355959,36058736367,other,57727,space,0.99973,10,4,0.51,0,1,0,1,0,1,17,female,1,0,1,marketing,6,0.99896,10,commented,male,1,0,1,marketing,5,0.99902,13,commented,male,1,0,1,marketing,4,0.99895,17,commented,female,1,0,1,marketing,3,0.99896,19,commented,male,0,0,1,marketing,2,0.99762,11,commented,male,1,0,1,marketing,1,0.99866,0.87642
213019,1.54101E+12,1.54117E+12,36195076220,36041025625,other,57727,space,0.99973,11,2,0.51,0,1,0,1,0,1,41,male,1,0,1,sales,6,0.99828,146,commented,male,1,0,1,marketing,5,0.99899,109375,commented,male,1,0,1,marketing,4,0.99715,5,liked,male,1,0,1,marketing,3,0.99962,120731,liked,male,0,0,0,engineering,2,0.99787,117235,liked,male,1,0,1,marketing,1,0.99904,0.86096
213033,1.54103E+12,1.54103E+12,36179855628,36179855628,other,117084,space,0.1,5,0,0,0,0,0,0,0,1,117086,male,0,0,0,other,6,0.99161,11,liked,male,1,0,1,marketing,5,0.99866,120731,liked,male,0,0,0,engineering,4,0.99787,116107,liked,male,0,0,1,other,3,0.99027,111056,liked,male,0,0,1,engineering,2,0.99015,110401,liked,male,1,0,1,marketing,1,0.99788,0.83261
213057,1.54106E+12,1.54106E+12,36143468444,36143468444,other,78,user,0.99937,3,0,0.263496727,0,0,0,0,0,1,78,female,1,0,1,marketing,6,0.99808,110401,liked,male,1,0,1,marketing,5,0.99788,62,liked,male,1,0,1,marketing,4,0.99586,123796,liked,male,0,0,1,marketing,3,0.99507,22636,viewed,male,0,0,1,other,2,0.23077,3080,viewed,male,0,0,1,marketing,1,0.23077,0.80733
213111,1.54108E+12,1.54108E+12,36127262803,36127262803,other,40316,space,0.5,0,0,0,0,0,0,0,0,0,120731,male,0,0,0,engineering,6,0.99787,22636,viewed,male,0,0,1,other,5,0.23077,3080,viewed,male,0,0,1,marketing,4,0.23077,44661,viewed,male,0,0,1,other,3,0.23077,3089,viewed,male,0,0,1,other,2,0.23077,3084,viewed,male,0,0,1,marketing,1,0.23077,0.49947
213112,1.54108E+12,1.5448E+12,36126865082,32401501526,other,27310,space,0.9998,1,3,0,0,1,0,1,0,1,151,male,1,0,1,marketing,6,0.99811,151,commented,male,1,0,1,marketing,5,0.99811,41,commented,male,1,0,1,sales,4,0.99828,108025,commented,male,1,0,0,marketing,3,0.99891,117235,commented,male,1,0,1,marketing,2,0.99904,5,commented,male,1,0,1,marketing,1,0.99962,0.87642
213162,1.54113E+12,1.54113E+12,36072958731,36072958731,other,117084,space,0.1,2,0,0,0,0,0,0,0,1,117086,male,0,0,0,other,6,0.99161,120731,liked,male,0,0,0,engineering,5,0.99787,110401,liked,male,1,0,1,marketing,4,0.99788,22636,viewed,male,0,0,1,other,3,0.23077,3080,viewed,male,0,0,1,marketing,2,0.23077,44661,viewed,male,0,0,1,other,1,0.23077,0.74284
213195,1.54115E+12,1.54116E+12,36056493599,36048970428,other,109375,user,0.89796,8,4,0,0,0,0,1,0,1,109375,male,1,0,1,marketing,6,0.99715,110965,commented,male,0,0,1,marketing,5,0.99861,111056,commented,male,0,0,1,engineering,4,0.99015,109375,commented,male,1,0,1,marketing,3,0.99715,41,commented,male,1,0,1,sales,2,0.99828,120731,liked,male,0,0,0,engineering,1,0.99787,0.87146
213198,1.54115E+12,1.54115E+12,36055404895,36055404895,wiki,57727,space,0.99973,0,0,0,0,0,0,0,0,0,17,female,1,0,1,marketing,6,0.99896,22636,viewed,male,0,0,1,other,5,0.23077,3080,viewed,male,0,0,1,marketing,4,0.23077,44661,viewed,male,0,0,1,other,3,0.23077,3089,viewed,male,0,0,1,other,2,0.23077,3084,viewed,male,0,0,1,marketing,1,0.23077,0.61523
213249,1.54116E+12,1.54116E+12,36050044543,36050044543,other,29314,space,0.98761,0,0,0,0,0,0,0,0,0,20,female,1,0,1,marketing,6,0.99709,22636,viewed,male,0,0,1,other,5,0.23077,3080,viewed,male,0,0,1,marketing,4,0.23077,44661,viewed,male,0,0,1,other,3,0.23077,3089,viewed,male,0,0,1,other,2,0.23077,3084,viewed,male,0,0,1,marketing,1,0.23077,0.49927
