id,posted_time,updated_time,age,updated_age,app_type,owner_id,owner_type,owner_influence,number_of_likes,number_of_comments,reactivity,is_mentions_me,is_mentions_connections,is_commented_by_me,is_commented_by_connections,is_liked_by_me,is_liked_by_connections,poster_id,poster_gender,poster_is_employee,poster_is_lead,poster_is_in_connections,poster_focus,poster_order,poster_influence,participant1_id,participant1_action,participant1_gender,participant1_is_employee,participant1_is_lead,participant1_is_in_connections,participant1_focus,participant1_order,participant1_influence,participant2_id,participant2_action,participant2_gender,participant2_is_employee,participant2_is_lead,participant2_is_in_connections,participant2_focus,participant2_order,participant2_influence,participant3_id,participant3_action,participant3_gender,participant3_is_employee,participant3_is_lead,participant3_is_in_connections,participant3_focus,participant3_order,participant3_influence,participant4_id,participant4_action,participant4_gender,participant4_is_employee,participant4_is_lead,participant4_is_in_connections,participant4_focus,participant4_order,participant4_influence,participant5_id,participant5_action,participant5_gender,participant5_is_employee,participant5_is_lead,participant5_is_in_connections,participant5_focus,participant5_order,participant5_influence
235243,1.5523E+12,1.5523E+12,24914923769,24914923769,forum,115788,space,0.1,0,4,0,0,0,0,1,0,0,120324,male,0,0,0,marketing,6,0.09091,13659,commented,male,0,0,0,other,5,0.99756,120324,commented,male,0,0,0,marketing,4,0.09091,123068,commented,male,1,0,0,marketing,3,0.99649,124733,commented,female,1,0,1,other,2,0.99489,22636,viewed,male,0,0,1,other,1,0.23077
273098,1.57528E+12,1.57528E+12,1937941725,1937941725,other,9037,space,0.99949,1,3,0,0,1,0,1,0,1,108025,male,1,0,0,marketing,6,0.99891,108025,commented,male,1,0,0,marketing,5,0.99891,121,commented,male,1,0,1,marketing,4,0.99919,6,commented,male,1,0,1,marketing,3,0.99772,38,commented,female,1,0,1,marketing,2,0.99825,5,liked,male,1,0,1,marketing,1,0.99962
273421,1.57538E+12,1.57538E+12,1835048120,1835048120,other,38327,user,0.1,3,0,0,0,0,0,0,0,0,75,male,1,0,1,marketing,6,0.99674,119825,liked,female,1,0,0,other,5,0.99754,128564,liked,male,1,0,0,other,4,0.97487,126270,liked,male,1,0,0,engineering,3,0.96283,22636,viewed,male,0,0,1,other,2,0.23077,3080,viewed,male,0,0,1,marketing,1,0.23077
273403,1.57538E+12,1.57538E+12,1836882251,1836882251,forum,111913,space,0.99977,0,3,0,0,0,0,1,0,0,129104,female,1,0,0,marketing,6,0.995,13659,commented,male,0,0,0,other,5,0.99756,5,commented,male,1,0,1,marketing,4,0.99962,129104,commented,female,1,0,0,marketing,3,0.995,22636,viewed,male,0,0,1,other,2,0.23077,3080,viewed,male,0,0,1,marketing,1,0.23077
273408,1.57538E+12,1.57538E+12,1836689866,1836689866,other,80,user,0.1,2,0,0,0,0,0,0,0,0,75,male,1,0,1,marketing,6,0.99674,126225,liked,female,1,0,0,other,5,0.99737,128564,liked,male,1,0,0,other,4,0.97487,22636,viewed,male,0,0,1,other,3,0.23077,3080,viewed,male,0,0,1,marketing,2,0.23077,44661,viewed,male,0,0,1,other,1,0.23077
273375,1.57538E+12,1.57538E+12,1837509470,1837509470,other,117084,space,0.1,3,0,0,0,0,0,0,0,1,117086,male,0,0,0,other,6,0.99161,6,liked,male,1,0,1,marketing,5,0.99772,110401,liked,male,1,0,1,marketing,4,0.99788,71,liked,female,1,0,0,marketing,3,0.99248,22636,viewed,male,0,0,1,other,2,0.23077,3080,viewed,male,0,0,1,marketing,1,0.23077
273366,1.57538E+12,1.57538E+12,1840449485,1840449485,wiki,57727,space,0.99973,0,0,0,0,0,0,0,0,0,10,male,1,0,1,marketing,6,0.99902,22636,viewed,male,0,0,1,other,5,0.23077,3080,viewed,male,0,0,1,marketing,4,0.23077,44661,viewed,male,0,0,1,other,3,0.23077,3089,viewed,male,0,0,1,other,2,0.23077,3084,viewed,male,0,0,1,marketing,1,0.23077
273351,1.57538E+12,1.57538E+12,1843036746,1842757852,other,3201,space,0.99992,13,2,0,0,0,0,1,1,1,62,male,1,0,1,marketing,6,0.99586,4,commented,male,1,0,1,marketing,5,0.99867,115077,commented,male,1,0,1,marketing,4,0.99809,78,liked,female,1,0,1,marketing,3,0.99808,14,liked,male,1,0,0,engineering,2,0.09091,80,liked,male,1,0,1,other,1,0.99351
237040,1.55318E+12,1.55318E+12,24040811179,24040811179,other,3201,space,0.99992,38,9,0,0,0,0,1,1,1,78,female,1,0,1,marketing,6,0.99808,123799,commented,female,0,0,0,marketing,5,0.99471,62,commented,male,1,0,1,marketing,4,0.99586,120290,commented,male,1,0,0,marketing,3,0.99876,13,commented,male,1,0,1,marketing,2,0.99895,78,commented,female,1,0,1,marketing,1,0.99808
237017,1.55317E+12,1.55317E+12,24043617928,24043617928,other,78,user,0.99937,20,2,0,0,0,0,1,1,1,78,female,1,0,1,marketing,6,0.99808,5,commented,male,1,0,1,marketing,5,0.99962,78,commented,female,1,0,1,marketing,4,0.99808,38327,commented,female,1,0,0,marketing,3,0.98246,123799,liked,female,0,0,0,marketing,2,0.99471,151,liked,male,1,0,1,marketing,1,0.99811
